epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1007,4.97551,4.46306,3.24785,0.00641,0.5,0.04523,0.00452,2.474,4.60457,2.27584,0,0,0
2,13.7144,3.07007,4.26408,2.13469,0.00641,0.5,0.04523,0.00452,2.474,4.60457,2.27584,1.63399e-05,1.63399e-05,1.63399e-05
3,15.7187,4.28093,4.60874,2.77725,0.00595,0.5,0.02764,0.00276,2.94362,4.53177,2.41857,3.20197e-05,3.20197e-05,3.20197e-05
4,17.4541,4.95795,4.56559,3.51433,0.00595,0.5,0.02764,0.00276,2.94362,4.53177,2.41857,4.70394e-05,4.70394e-05,4.70394e-05
5,18.985,3.58558,4.71304,2.8864,0.00595,0.5,0.02764,0.00276,2.94362,4.53177,2.41857,6.13989e-05,6.13989e-05,6.13989e-05
6,20.3386,4.15737,3.78716,2.99817,0.00595,0.5,0.02764,0.00276,2.94362,4.53177,2.41857,7.50984e-05,7.50984e-05,7.50984e-05
7,21.69,2.39343,4.6807,1.93539,0.00595,0.5,0.02764,0.00276,2.94362,4.53177,2.41857,8.81376e-05,8.81376e-05,8.81376e-05
8,23.2564,3.40516,3.75319,2.51292,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000100517,0.000100517,0.000100517
9,24.5707,2.49022,4.31032,2.40808,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000112236,0.000112236,0.000112236
10,26.3804,3.00018,3.67419,2.11793,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000123295,0.000123295,0.000123295
11,27.9743,1.93626,2.42184,1.67628,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000133693,0.000133693,0.000133693
12,29.3843,2.74954,4.03069,2.2862,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000143432,0.000143432,0.000143432
13,31.2248,2.8409,3.78363,2.20327,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.00015251,0.00015251,0.00015251
14,33.2105,2.82879,3.76717,2.14907,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000160929,0.000160929,0.000160929
15,35.0761,2.96966,3.62157,1.96878,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000168687,0.000168687,0.000168687
16,37.9364,3.9471,3.95707,2.59402,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000175785,0.000175785,0.000175785
17,40.248,3.80763,4.25612,2.6132,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000182223,0.000182223,0.000182223
18,43.0354,4.74097,4.67209,2.78932,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000188001,0.000188001,0.000188001
19,45.1754,3.13676,4.42481,2.04549,0.00442,0.5,0.00541,0.0027,2.58907,4.65743,1.65417,0.000193119,0.000193119,0.000193119
